"NDB_Number","long_name","data_source","gtin_upc","manufacturer","date_modified","date_available","ingredients_english"
"45170764","TEECCINO, HERBAL COFFEE, DANDELION CARAMEL NUT","LI","795239432202","Teeccino, Inc.","2017-09-15 01:09:11","2017-09-15 01:09:11","ORGANIC CAROB, ORGANIC CHICORY, ORGANIC DANDELION, DATES, ALMONDS, NATURAL CARAMEL NUT FLAVOR, ORGANIC FIGS."
"45189128","PINEAPPLE","LI","7443013770066","AGRICOLA INDUSTRIAL LA LYDIA SA","2017-11-05 01:59:13","2017-11-05 01:59:13",""
"45205945","BREATH FRESHENING SUGAR FREE GUM","LI","853401001066","B-Fresh, Inc.","2017-10-13 12:41:34","2017-10-13 12:41:34","XYLITOL, GUM BASE, NATURAL FRUIT FLAVOR, VITAMIN B12, CALCIUM CITRATE (PH REGULATOR), CALCIUM GLUCONATE (PH REGULATOR)."
"45220037","SPORT DRINKS","LI","899804002248","BODE","2017-07-14 17:02:38","2017-07-14 17:02:38","REVERSE OSMOSIS WATER, EVAPORATED CANE JUICE, CITRIC ACID, NATURAL FLAVORS, DIPOTASSIUM PHOSPHATE, CALCIUM LACTATE GLUCONATE, D-RIBOSE, STEVIA, MAGNESIUM LACTATE, SODIUM CHLORIDE, GUARANA EXTRACT, COQ10, ASCORBIC ACID, ALPHA-TOCOPHERYL ACETATE, NIACINAMIDE, D-CALCIUM PANTOTHENATE, VITAMIN B12, FOLIC ACID, PYRIDOXINE HYDROCHLORIDE, THIAMIN MONONITRATE."
"45244107","KELLOGG CORN FLAKES 22LB 1CT","GDSN","00064100334007","Kellogg Company US","2017-04-27 15:39:11","2017-04-27 17:01:23","Milled corn, sugar, malt flavor, contains 2% or less of salt.Vitamins and Minerals: Reduced iron, vitamin B2 (riboflavin), niacinamide, vitamin B1 (thiamin hydrochloride), calcium pantothenate, vitamin B6 (pyridoxine hydrochloride), folic acid."
"45244133","KEEBLER FUDGE SHOPPE FUDGE STRIPES 11.5OZ","GDSN","00030100117315","Kellogg Company US","2017-02-14 14:39:36","2017-02-14 15:02:01","Enriched flour (wheat flour, niacin, reduced iron, vitamin B1 [thiamin mononitrate], vitamin B2 [riboflavin], folic acid), sugar, vegetable oil (palm kernel, soybean and palm oil), high fructose corn syrup, whey.Contains 2% or less of leavening (baking soda, sodium acid pyrophosphate, monocalcium phosphate), salt, natural and artificial flavors, soy lecithin, molasses, color added, polysorbate 60, sorbitan monostearate, yellow 5 lake."
"45260550","VEGETABLE OIL","LI","820103495042","NATURE NUTRITION","2018-03-03 04:57:51","2018-03-03 04:57:51","OLEIC ACID VEGETABLE OIL, REFINED, BLEACHED, DEWAXED AND DEODORIZED VEGETABLE OIL."
"45261826","ALOE VERA DRINK","LI","8936020033587","AVIN F & B COMPANY LLC","2018-03-06 23:11:13","2018-03-06 23:11:13","ALOE VERA JUICE 76% AND PULP 12%, GLUCOSE, CITRIC ACID, NATURAL FLAVOR."
"45284174","SUGAR-FREE MINTS","LI","762111126849","Starbucks Coffee Company","2018-01-15 16:13:26","2018-01-15 16:13:26","SORBITOL, XYLITOL, PEPPERMINT OIL, MAGNESIUM STEARATE, SILICON DIOXIDE, MENTHOL, ACESULFAME POTASSIUM, ASPARTAME*."
"45288271","NUTRITION BAR","LI","638102201416","Eicotech Corporation","2017-07-14 19:17:41","2017-07-14 19:17:41","SOY PROTEIN NUGGETS (ISOLATED SOY PROTEIN, TAPIOCA STARCH, SALT), CORN SYRUP, YOGURT FLAVORED COATING (DRIED CANE SYRUP, FRACTIONATED PALM KERNEL OIL NONFAT MILK, NONFAT YOGURT POWDER [CULTURED WITH NONFAT MILK], SOY LECITHIN, MODIFIED CORN STARCH, LACTIC ACID, VANILLA EXTRACT), SODIUM CASEINATE, GUM ARABIC, STRAWBERRY FLAVORED CRANBERRIES (CRANBERRIES, SUGAR, NATURAL STRAWBERRY FLAVOR WITH OTHER NATURAL FLAVORS, CITRIC ACID, SUNFLOWER OIL, ELDERBERRY JUICE CONCENTRATE), HIGH OLEIC SAFFLOWER OIL, FAT REPLACER (WHITE GRAPE JUICE CONCENTRATE, PRUNES, DATES, FRUCTOSE, GLYCERINE), GLYCERINE, APPLE STRAWBERRY PIECES (FRUIT [APPLE PUREE CONCENTRATE, STRAWBERRY JUICE CONCENTRATE], INVERT SUGAR, SUGAR, GLYCEROL DEXTROSE, WHEAT FIBER, PALM FAT, PECTIN, MALIC ACID, NATURAL FLAVOR, ELDERBERRY CONCENTRATE); LESS THAN 2% OF THE FOLLOWING: GUAR GUM, NATURAL FLAVOR, CALCIUM PHOSPHATE, CITRIC ACID, VITAMIN AND MINERAL BLEND (CALCIUM PHOSPHATE, ASCORBIC ACID, MAGNESIUM OXIDE, DL-ALPHA-TOCOPHERYL ACETATE, NIACINAMIDE, ZINC OXIDE, CALCIUM PANTOTHENATE, FERROUS FUMARATE, PYRIDOXINE HYDROCHLORIDE, VITAMIN A PALMITATE, RIBOFLAVIN, THIAMINE MONONITRATE, FOLIC ACID, CHROMIUM CHLORIDE, BIOTIN, SODIUM SELENITE, SODIUM MOLYBDATE, CYANOCOBALAMIN)."
"45288431","SWEET & HOT DOG BUNS","LI","713733081818","Meijer, Inc.","2018-05-03 18:28:54","2018-05-03 18:28:54","ENRICHED FLOUR [UNBLEACHED WHEAT FLOUR, MALTED BARLEY FLOUR, REDUCED IRON, THIAMINE MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), NIACIN (VITAMIN B3), FOLIC ACID], WATER, SUGAR, YEAST, WHEAT GLUTEN, SOYBEAN OIL, JALAPENOS, WHEAT PROTEIN ISOLATE, WHEAT STARCH, SUNFLOWER LECITHIN, CANOLA OIL, SALT, DEXTROSE, CORN STARCH, NATURAL AND ARTIFICIAL FLAVOR, YELLOW CORN FLOUR, SPICE OILS (TURMERIC AND ANNATTO), WHEAT SOURDOUGH, CALCIUM PROPIONATE (A PRESERVATIVE), CALCIUM SULFATE, MONO AND DI-GLYCERIDES, SODIUM STEAROYL LACTYLATE, VINEGAR, CITRIC ACID, MODIFIED CORN STARCH, ASCORBIC ACID, SODIUM ALGINATE, POLYSORBATE 60."
"45293308","NATURAL SOYA LECITHIN GRANULES","LI","04251543514","LEWIS LABS","2018-06-06 04:35:57","2018-06-06 04:35:57","SOYA LECITHIN (SOY), NATURAL FRUIT FLAVORS (PINEAPPLE AND COCONUT), TRICALCIUM PHOSPHATE."
"45297532","CURLY MUSTARD","LI","028764422067","CUT'N CLEAN GREENS","2018-03-07 05:47:33","2018-03-07 05:47:33",""
"45332440","NATURADE, PEA PROTEIN VEGAN SHAKE, VANILLA","LI","079911026058","Prevention, LLC","2018-06-08 04:43:35","2018-06-08 04:43:35","PEA PROTEIN ISOLATE, ORGANIC CANE SUGAR, INULIN FIBER (CHICORY), SUNFLOWER OIL, NATURAL FLAVORS, CORN SYRUP SOLIDS, SEA SALT, POTASSIUM CITRATE, STEVIA LEAF EXTRACT, SODIUM CITRATE, MEDIUM CHAIN TRIGLYCERIDES, XANTHAN GUM."
"45332543","HIGH-PROTEIN NUTRITION WITH FIBER","LI","070074531199","NUTRAFLORA FOS*","2018-06-07 09:32:38","2018-06-07 09:32:38","WATER, CORN MALTODEXTRIN, CORN SYRUP SOLIDS, SODIUM AND CALCIUM CASEINATE, SOY PROTEIN ISOLATE, CANOLA OIL, CORN OIL, FRUCTOOLIGOSACCHARIDES, MEDIUM CHAIN TRIGLYCERIDES, SOY FIBER, OAT FIBER, CALCIUM PHOSPHATE, MAGNESIUM PHOSPHATE, POTASSIUM CITRATE, GUM ARABIC, SOY LECITHIN, POTASSIUM CHLORIDE, CARBOXYMETHYLCELLULOSE, SALT, ASCORBIC ACID, CHOLINE CHLORIDE, SODIUM CITRATE, L-CARNITINE, TAURINE, ZINC SULFATE, FERROUS SULFATE, DL-ALPHA-TOCOPHERYL ACETATE, NIACINAMIDE, CALCIUM PANTOTHENATE, MANGANESE SULFATE, CUPRIC SULFATE, THIAMINE CHLORIDE HYDROCHLORIDE, PYRIDOXINE HYDROCHLORIDE, RIBOFLAVIN, BETA-CAROTENE, VITAMIN A PALMITATE, FOLIC ACID, BIOTIN, CHROMIUM CHLORIDE, SODIUM MOLYBDATE, POTASSIUM IODIDE, SODIUM SELENATE, PHYLLOQUINONE, CYANOCOBALAMIN AND VITAMIN D3."
"45332699","HIGH PROTEIN ENERGY SHAKE","LI","097467458635","Natural Organics, Inc.","2018-06-07 09:34:12","2018-06-07 09:34:12","PROPRIETARY NON-GMO PROTEIN BLEND (RICE PROTEIN, PEA PROTEIN AND SOY [ISOLATED SOY PROTEIN AND FERMENTED SOY]), FRUCTOSE, REVITALIZING GREEN WHOLE FOOD BLEND, DI-CALCIUM PHOSPHATE, OLIGOFRUCTOSE, NATURAL FLAVORS, XANTHAN GUM, CITRIC ACID, MAGNESIUM OXIDE, POTASSIUM CITRATE, CHOLINE BITARTRATE, NATURAL COLOR (CHLOROPHYLL), INOSITOL, ASCORBIC ACID, VITAMIN E (D-ALPHA TOCOPHERYL ACETATE), PAPAIN, CHROMIUM PICOLINATE, CITRUS BIOFLAVONOIDS, BIOTIN, AMYLASE, ZINC OXIDE, MANGANESE SULFATE, BROMELAIN, NIACINAMIDE, FERROUS FUMARATE, VITAMIN A PALMITATE, LIPASE, CALCIUM PANTOTHENATE, LECITHIN, BLACK CURRANT, SCHISANDRA, LIGUSTRUM, ASTRAGALUS ROOT, KELP, SPIRULINA, RICE BRAN, ACEROLA CHERRY, KOREAN GINSENG, APPLE PECTIN, PAPAYA, PYRIDOXINE HYDROCHLORIDE, RIBOFLAVIN, THIAMINE HYDROCHLORIDE, CHOLECALCIFEROL (FROM LICHEN), VITAMIN B12 (AS METHYLCOBALAMIN), FOLATE (AS CALCIUM-L-5-METHYLTETRAHYDROFOLATE), POTASSIUM IODIDE, SODIUM MOLYBDATE, SODIUM SELENITE...AND LOVE ?"
"45337413","ENGINEERED NUTRITION, MEAL REPLACEMENT","LI","786560187015","Rexall Sundown, Inc.","2018-06-05 05:38:54","2018-06-05 05:38:54","METAMYOSYN PROTEIN BLEND (MILK PROTEIN CONCENTRATE, CALCIUM SODIUM CASEINATE, L-GLUTAMINE, WHEY PROTEIN CONCENTRATE, EGG WHITE), MALTODEXTRIN, VITAMIN AND MINERAL BLEND (DICALCIUM PHOSPHATE, DIPOTASSIUM PHOSPHATE, POTASSIUM CHLORIDE, POTASSIUM CITRATE, SODIUM CITRATE, MAGNESIUM OXIDE, ASCORBIC ACID, DI-ALPHA TOCOPHERYL ACETATE, FERROUS FUMARATE, NIACINAMIDE, VITAMIN A PALMITATE, CALCIUM SULFATE, ZINC OXIDE, D-CALCIUM PANTOTHENATE, DI-ALPHA TOCOPHEROLS, COPPER SULFATE, MANGANESE SULFATE, BETA-CAROTENE, PYRIDOXINE HYDROCHLORIDE, THIAMIN HYDROCHLORIDE, RIBOFLAVIN, FOLIC ACID, CHROMIUM PICOLINATE, BIOTIN, SODIUM MOLYBDATE, POTASSIUM IODIDE, TRICALCIUM PHOSPHATE, SODIUM SELENITE, PHYTONADIONE, CHOLECALCIFEROL, CYANOCOBALAMIN), NATURAL AND ARTIFICIAL FLAVORS, NON-DAIRY CREAMER (SUNFLOWER OIL, MALTODEXTRIN, SODIUM CASEINATE, MONO- & DI-GLYCERIDES, NATURAL TOCOPHEROLS, SILICON DIOXIDE, TRICALCIUM PHOSPHATE), CALCIUM LACTATE, CELLULOSE GUM, XANTHAN GUM, SALT, SOY LECITHIN, GUAR GUM, CARRAGEENAN, ACESULFAME POTASSIUM, SUCRALOSE, GELATIN."
"45342004","INSTANT CEREAL","LI","7898239260493","LANUTRE","2018-03-05 01:01:31","2018-03-05 01:01:31","WHEAT FLOUR ENRICHED WITH IRON AND FOLIC ACID, SUGAR, MILK, PHOSPHATE TRICALCIUM, VITAMINS MIX A, D3, B1, B2, PP, B6, B12, K, H, PANTOTHENIC ACID, FOLIC ACID, IRON AND NATURAL IDENTICAL VANILLA FLAVOUR."
"45350090","JEL DESSERT","LI","751217900965","SIMPLY DELISH","2018-01-19 21:10:30","2018-01-19 21:10:30","ERYTHRITOL, CARRAGEENAN, CITRIC ACID, POTASSIUM CITRATE, NATURAL COLOR (BEET, BETA-CAROTENE), NATURAL FLAVOR (STRAWBERRY), STEVIA EXTRACT."
"45353010","PROTEIN BARS","LI","602652208027","KIND Inc.","2018-03-02 23:02:41","2018-03-02 23:02:41","PEANUTS, ALMONDS, GLUCOSE SYRUP, SOY PROTEIN ISOLATE, HONEY, PALM KERNEL OIL, SUGAR, CHICORY ROOT FIBER, UNSWEETENED CHOCOLATE, COCOA POWDER, SOY LECITHIN, SALT, VANILLA EXTRACT, NATURAL FLAVOR, COCOA BUTTER."
"45354014","ENERGY DRINK","LI","815154021319","Energy Beverages LLC","2018-03-02 22:59:33","2018-03-02 22:59:33","CARBONATED WATER, SUGAR/GLUCOSE-FRUCTOSE, TAURINE, CITRIC ACID, SODIUM CITRATE, SODIUM BENZOATE, CAFFEINE, POTASSIUM SORBATE, GUM ARABIC, NIACINAMIDE, FLAVOURS, SUCRALOSE, D-CALCIUM PANTOTHENATE, ESTER GUM, INOSITOL, SUNSET YELLOW FCF, PYRIDOXINE HYDROCHLORIDE, CYANOCOBALAMIN."
"45357682","ALMOND & CASHEW BLEND","LI","070690275958","John B. Sanfilippo & Son, Inc.","2018-04-05 16:00:09","2018-04-05 16:00:09","ALMONDS, CASHEWS, SEA SALT."
"45360952","BLACK CHIA","LI","9340224000617","THE CHIA CO","2018-02-16 19:43:06","2018-02-16 19:43:06","100% CHIA SEED (SALVIA HISPANICA)."
"45361030","TAPT. INFUSED TREE WATER","LI","855577006265","THE MAPLE GUILD","2018-04-16 02:43:41","2018-04-16 02:43:41","ORGANIC MAPLE SAP CONCENTRATE, ORGANIC MAPLE SYRUP, VITAMIN AND MINERAL BLEND (POTASSIUM MONOPHOSPHATE, MAGNESIUM CHLORIDE HEXAHYDRATE, ASCORBIC ACID (VITAMIN C), DL-ALPHA TOCOPHERYL ACETATE (VITAMIN E) AND 2% OR LESS THAN EACH OF THE FOLLOWING: MALTODEXTRIN, NIACINAMIDE (VITAMIN B3), ZINC GLUCONATE, CALCIUM PANTOTHENATE (VITAMIN B5), VITAMIN A PALMITATE, PYRIDOXINE HYDROCHLORIDE (VITAMIN B6), CYANOCOBALAMIN (VITAMIN B12), SODIUM SELENITE), GREEN TEA EXTRACT, NATURAL FLAVORS, CITRIC ACID AND FRUIT JUICE CONCENTRATE (FOR COLOR)."
"45375020","Simply Light Orange Pulp Free with Calcium & Vit D(Nectar) Bottle, 52 fl oz","GDSN","00025000100635","The Coca-Cola Company-0049000000016","2018-07-05 05:06:30","2018-07-05 05:25:10","INGREDIENTS: PURE FILTERED WATER, ORANGE JUICE, LESS THAN 1% OF: VITAMIN C (ASCORBIC ACID), NATURAL FLAVORS, CITRIC ACID (PROVIDES TARTNESS), CALCIUM PHOSPHATE AND CALCIUM LACTATE (CALCIUM SOURCES), VITAMIN D3, CITRUS PECTIN, STEVIA LEAF EXTRACT, BETA CAROTENE."
"45302674","QUAKER, OLD FASHIONED WHOLE GRAIN OATS","LI","030000010204","The Quaker Oats Company","2018-03-11 06:27:23","2018-03-11 06:27:23","WHOLE GRAIN ROLLED OATS."
"45189910","ORGANIC NONFAT MILK","LI","015400192750","Western Family Foods, Inc.","2018-02-17 01:40:48","2018-02-17 01:40:48","FAT FREE ORGANIC MILK, VITAMIN D, VITAMIN A."
"45193512","DARK BROWN SUGAR","LI","011110876607","The Kroger Co.","2018-01-20 03:47:00","2018-01-20 03:47:00","SUGAR, CANE MOLASSES."
"45365651","CAGE FREE LARGE WHITE EGGS","LI","688267187407","Ahold Usa, Inc.","2018-01-19 21:19:10","2018-01-19 21:19:10",""
"45326055","NON STICK OIL SPRAY","LI","049022948570","Walgreens Co.","2017-08-11 17:34:36","2017-08-11 17:34:36","CANOLA OIL, SOY LECITHIN, DIMETHYL SILICONE (AN ANTI-FOAMING AGENT), PROPELLANT."
"45088481","IODIZED SALT","LI","024600010030","Morton Salt, Inc.","2018-05-10 07:07:52","2018-05-10 07:07:52","SALT, CALCIUM SILICATE (AN ANTICAKING AGENT), DEXTROSE, POTASSIUM IODIDE"
"45208890","WHEAT BREAD","LI","085239941232","Target Stores","2017-07-14 18:34:07","2017-07-14 18:34:07","ENRICHED WHEAT FLOUR (FLOUR, MALTED BARLEY FLOUR, REDUCED IRON, NIACIN, THIAMIN MONONITRATE [VITAMIN B1], RIBOFLAVIN [VITAMIN B2], FOLIC ACID), WATER, WHOLE WHEAT FLOUR, YEAST, HONEY, SUGAR, WHEAT GLUTEN, SALT, SOYBEAN OIL, ENRICHMENT (CALCIUM SULFATE, VITAMIN E ACETATE, VITAMIN A PALMITATE, VITAMIN D3), CALCIUM PROPIONATE (PRESERVATIVE), DATEM, MONO AND DIGLYCERIDES, GRAIN VINEGAR, SOY LECITHIN, CITRIC ACID, POTASSIUM IODATE, CALCIUM PHOSPHATE."
"45102018","BELGIOIOSO, FRESH MOZARELLA CHEESE","LI","031142006018","Belgioioso Cheese, Inc.","2017-06-25 10:46:38","2017-06-25 10:46:38","PASTEURIZED MILK, VINEGAR, ENZYMES, SALT, EXTRA VIRGIN OLIVE OIL, BASIL."
