"NDB_No","Nutrient_Code","Nutrient_name","Derivation_Code","Output_value","Output_uom"
"45332543","205","Carbohydrate, by difference","LCCS","16.96","g"
"45332543","208","Energy","LCCS","1.0","kcal"
"45332543","255","Water","LCCS","80.59","g"
"45332543","291","Fiber, total dietary","LCCS","1.8","g"
"45332543","301","Calcium, Ca","LCCS","120.0","mg"
"45332543","302","Chlorine, Cl","LCCS","152.0","mg"
"45332543","303","Iron, Fe","LCCS","1.81","mg"
"45332543","304","Magnesium, Mg","LCCS","41.0","mg"
"45332543","305","Phosphorus, P","LCCS","120.0","mg"
"45332543","306","Potassium, K","LCCS","186.0","mg"
"45332543","307","Sodium, Na","LCCS","137.0","mg"
"45332543","309","Zinc, Zn","LCCS","2.32","mg"
"45332543","310","Chromium, Cr","LCCS","12.0","mcg"
"45332543","312","Copper, Cu","LCCS","0.203","mg"
"45332543","314","Iodine, I","LCCS","15.0","mcg"
"45332543","315","Manganese, Mn","LCCS","1.0","mg"
"45332543","316","Molybdenum, Mb","LCCS","15.0","mcg"
"45332543","317","Selenium, Se","LCCS","7.0","mcg"
"45332543","324","Vitamin D","LCCS","41.0","IU"
"45332543","401","Vitamin C, total ascorbic acid","LCCS","30.4","mg"
"45332543","404","Thiamin","LCCS","0.0","mg"
"45332543","405","Riboflavin","LCCS","261.603","mg"
"45332543","406","Niacin","LCCS","3.038","mg"
"45332543","410","Pantothenic acid","LCCS","1.519","mg"
"45332543","415","Vitamin B-6","LCCS","0.304","mg"
"45332543","416","Biotin","LCCS","46.0","mcg"
"45332543","418","Vitamin B-12","LCCS","0.93","mcg"
"45332543","421","Choline, total","LCCS","61.0","mg"
"45332543","430","Vitamin K (phylloquinone)","LCCS","8.4","mcg"
"45332543","431","Folic acid","LCCS","61.0","mcg"
"45332543","529","Taurine","LCCS","0.0","g"
"45332699","203","Protein","LCCS","36.11","g"
"45332699","204","Total lipid (fat)","LCCD","0.0","g"
"45332699","205","Carbohydrate, by difference","LCCS","36.11","g"
"45332699","208","Energy","LCCS","306.0","kcal"
"45332699","269","Sugars, total","LCCS","25.0","g"
"45332699","284","Carbohydrate, other","LCCS","6.0","g"
"45332699","291","Fiber, total dietary","LCCS","5.6","g"
"45332699","301","Calcium, Ca","LCCS","1667.0","mg"
"45332699","303","Iron, Fe","LCCS","25.0","mg"
"45332699","304","Magnesium, Mg","LCCS","556.0","mg"
"45332699","305","Phosphorus, P","LCCS","1667.0","mg"
"45332699","306","Potassium, K","LCCS","347.0","mg"
"45332699","307","Sodium, Na","LCCS","347.0","mg"
"45332699","309","Zinc, Zn","LCCS","63.89","mg"
"45332699","310","Chromium, Cr","LCCS","200.0","mcg"
"45332699","314","Iodine, I","LCCS","417.0","mcg"
"45332699","315","Manganese, Mn","LCCS","21.0","mg"
"45332699","316","Molybdenum, Mb","LCCS","83.0","mcg"
"45332699","317","Selenium, Se","LCCS","97.0","mcg"
"45332699","318","Vitamin A, IU","LCCS","13889.0","IU"
"45332699","324","Vitamin D","LCCS","1111.0","IU"
"45332699","401","Vitamin C, total ascorbic acid","LCCS","166.7","mg"
"45332699","404","Thiamin","LCCS","4.0","mg"
"45332699","405","Riboflavin","LCCS","4.722","mg"
"45332699","406","Niacin","LCCS","55.556","mg"
"45332699","410","Pantothenic acid","LCCS","27.778","mg"
"45332699","415","Vitamin B-6","LCCS","5.556","mg"
"45332699","416","Biotin","LCCS","833.0","mcg"
"45332699","418","Vitamin B-12","LCCS","16.67","mcg"
"45332699","422","Inositol","LCCS","139.0","mg"
"45332699","431","Folic acid","LCCS","1222.0","mcg"
"45332699","601","Cholesterol","LCCD","0.0","mg"
"45332699","605","Fatty acids, total trans","LCCS","0.0","g"
"45332699","606","Fatty acids, total saturated","LCCD","0.0","g"
"45337413","203","Protein","LCCS","52.78","g"
"45337413","204","Total lipid (fat)","LCCS","2.78","g"
"45337413","205","Carbohydrate, by difference","LCCS","27.78","g"
"45337413","208","Energy","LCCS","347.0","kcal"
"45337413","269","Sugars, total","LCCS","2.78","g"
"45337413","291","Fiber, total dietary","LCSL","1.4","g"
"45337413","301","Calcium, Ca","LCCD","1389.0","mg"
"45337413","303","Iron, Fe","LCCD","6.95","mg"
"45337413","304","Magnesium, Mg","LCCD","250.0","mg"
"45337413","305","Phosphorus, P","LCCD","386.0","mg"
"45337413","306","Potassium, K","LCCS","1236.0","mg"
"45337413","307","Sodium, Na","LCCS","542.0","mg"
"45337413","309","Zinc, Zn","LCCD","9.38","mg"
"45337413","312","Copper, Cu","LCCD","0.617","mg"
"45337413","314","Iodine, I","LCCD","46.0","mcg"
"45337413","315","Manganese, Mn","LCCD","1.0","mg"
"45337413","317","Selenium, Se","LCCD","39.0","mcg"
"45337413","318","Vitamin A, IU","LCCD","3472.0","IU"
"45337413","324","Vitamin D","LCCD","333.0","IU"
"45337413","401","Vitamin C, total ascorbic acid","LCCD","83.3","mg"
"45337413","404","Thiamin","LCCD","1.0","mg"
"45337413","405","Riboflavin","LCCD","1.417","mg"
"45337413","406","Niacin","LCCD","27.778","mg"
"45337413","410","Pantothenic acid","LCCD","5.556","mg"
"45337413","415","Vitamin B-6","LCCD","1.667","mg"
"45337413","418","Vitamin B-12","LCCD","4.17","mcg"
"45337413","430","Vitamin K (phylloquinone)","LCCD","55.6","mcg"
"45337413","501","Tryptophan","LCCS","0.529","g"
"45337413","502","Threonine","LCCS","2.09","g"
"45337413","503","Isoleucine","LCCS","2.343","g"
"45337413","504","Leucine","LCCS","4.388","g"
"45337413","505","Lysine","LCCS","3.756","g"
"45337413","506","Methionine","LCCS","1.321","g"
"45337413","508","Phenylalanine","LCCS","2.317","g"
"45337413","509","Tyrosine","LCCS","2.506","g"
"45337413","510","Valine","LCCS","2.974","g"
"45337413","511","Arginine","LCCS","1.736","g"
"45337413","512","Histidine","LCCS","1.403","g"
"45337413","513","Alanine","LCCS","1.549","g"
"45337413","514","Aspartic acid","LCCS","3.41","g"
"45337413","515","Glutamic acid","LCCS","9.8","g"
"45337413","516","Glycine","LCCS","0.881","g"
"45337413","517","Proline","LCCS","4.675","g"
"45337413","518","Serine","LCCS","2.594","g"
"45337413","526","Cysteine","LCCS","0.0","g"
"45337413","601","Cholesterol","LCCS","28.0","mg"
"45337413","605","Fatty acids, total trans","LCCS","0.0","g"
"45337413","606","Fatty acids, total saturated","LCCS","0.69","g"
"45361030","204","Total lipid (fat)","LCCD","0.0","g"
"45361030","205","Carbohydrate, by difference","LCCS","4.64","g"
"45361030","208","Energy","LCCS","19.0","kcal"
"45361030","269","Sugars, total","LCCS","4.64","g"
"45361030","301","Calcium, Ca","LCCD","4.0","mg"
"45361030","304","Magnesium, Mg","LCCD","10.0","mg"
"45361030","306","Potassium, K","LCCS","51.0","mg"
"45361030","309","Zinc, Zn","LCCD","0.32","mg"
"45361030","317","Selenium, Se","LCCD","1.0","mcg"
"45361030","318","Vitamin A, IU","LCCD","385.0","IU"
"45361030","401","Vitamin C, total ascorbic acid","LCCD","9.6","mg"
"45361030","406","Niacin","LCCD","3.204","mg"
"45361030","410","Pantothenic acid","LCCD","1.602","mg"
"45361030","415","Vitamin B-6","LCCD","0.214","mg"
"45361030","418","Vitamin B-12","LCCD","0.96","mcg"
"45361030","606","Fatty acids, total saturated","LCCD","0.0","g"
"45361030","753","Epigallocatechin-3-gallate","LCCS","11.0","mg"
"45284174","203","Protein","LCCS","0.0","g"
"45284174","204","Total lipid (fat)","LCCD","0.0","g"
"45284174","205","Carbohydrate, by difference","LCCS","100.0","g"
"45284174","208","Energy","LCCS","250.0","kcal"
"45284174","299","Total sugar alcohols","LCCS","100.0","g"
"45284174","307","Sodium, Na","LCCD","0.0","mg"
"45005282","203","Protein","LCCD","0.0","g"
"45005282","204","Total lipid (fat)","LCCD","0.0","g"
"45005282","205","Carbohydrate, by difference","LCCS","80.95","g"
"45005282","208","Energy","LCCS","238.0","kcal"
"45005282","261","Sorbitol","LCCS","10.0","g"
"45005282","269","Sugars, total","LCCS","0.0","g"
"45005282","306","Potassium, K","LCCS","38.0","mg"
"45005282","307","Sodium, Na","LCCD","0.0","mg"
"45205945","203","Protein","LCCS","0.0","g"
"45205945","204","Total lipid (fat)","LCCD","0.0","g"
"45205945","205","Carbohydrate, by difference","LCCS","71.43","g"
"45205945","208","Energy","LCCS","179.0","kcal"
"45205945","290","Xylitol","LCCS","63.0","g"
"45205945","301","Calcium, Ca","LCCS","17.0","mg"
"45205945","307","Sodium, Na","LCCD","0.0","mg"
"45205945","418","Vitamin B-12","LCCS","446.43","mcg"
"45086607","203","Protein","LCCS","3.33","g"
"45086607","204","Total lipid (fat)","LCCS","16.67","g"
"45086607","205","Carbohydrate, by difference","LCCS","30.0","g"
"45086607","208","Energy","LCCS","283.0","kcal"
"45086607","213","Lactose","LCCS","0.0","g"
"45086607","269","Sugars, total","LCCS","6.67","g"
"45086607","291","Fiber, total dietary","LCCD","0.0","g"
"45086607","307","Sodium, Na","LCCS","533.0","mg"
"45086607","601","Cholesterol","LCCD","0.0","mg"
"45086607","605","Fatty acids, total trans","LCCS","0.0","g"
"45086607","606","Fatty acids, total saturated","LCCS","6.67","g"
"45357682","203","Protein","LCCS","17.86","g"
"45357682","204","Total lipid (fat)","LCCS","50.0","g"
"45357682","205","Carbohydrate, by difference","LCCS","25.0","g"
"45357682","208","Energy","LCCS","571.0","kcal"
"45357682","269","Sugars, total","LCCS","3.57","g"
"45357682","291","Fiber, total dietary","LCCS","7.1","g"
"45357682","301","Calcium, Ca","LCCS","179.0","mg"
"45357682","303","Iron, Fe","LCCS","4.64","mg"
"45357682","304","Magnesium, Mg","LCCS","286.0","mg"
"45357682","306","Potassium, K","LCCS","643.0","mg"
"45357682","307","Sodium, Na","LCCS","393.0","mg"
"45357682","312","Copper, Cu","LCCS","1.429","mg"
"45357682","315","Manganese, Mn","LCCS","2.0","mg"
"45357682","324","Vitamin D","LCCD","0.0","IU"
"45357682","394","Vitamin E","LCCS","15.0","mg_ATE"
"45357682","601","Cholesterol","LCCD","0.0","mg"
"45357682","605","Fatty acids, total trans","LCCS","0.0","g"
"45357682","606","Fatty acids, total saturated","LCCS","5.36","g"
"45357682","645","Fatty acids, total monounsaturated","LCCS","32.14","g"
"45357682","646","Fatty acids, total polyunsaturated","LCCS","10.71","g"
"45354014","203","Protein","LCCS","0.21","g"
"45354014","204","Total lipid (fat)","LCCD","0.0","g"
"45354014","205","Carbohydrate, by difference","LCCS","10.99","g"
"45354014","208","Energy","LCCS","44.0","kcal"
"45354014","262","Caffeine","LCCS","34.0","mg"
"45354014","269","Sugars, total","LCCS","10.78","g"
"45354014","307","Sodium, Na","LCCS","20.0","mg"
"45354014","406","Niacin","LCCD","7.188","mg"
"45354014","410","Pantothenic acid","LCCD","5.92","mg"
"45354014","415","Vitamin B-6","LCCD","0.888","mg"
"45354014","418","Vitamin B-12","LCCD","7.74","mcg"
"45354014","422","Inositol","LCCS","2.0","mg"
"45354014","529","Taurine","LCCS","0.0","g"
"45138627","203","Protein","LCCS","0.42","g"
"45138627","204","Total lipid (fat)","LCCS","2.12","g"
"45138627","205","Carbohydrate, by difference","LCCS","11.86","g"
"45138627","208","Energy","LCCS","64.0","kcal"
"45138627","269","Sugars, total","LCCS","11.86","g"
"45138627","291","Fiber, total dietary","LCCS","2.1","g"
"45138627","301","Calcium, Ca","LCCD","8.0","mg"
"45138627","303","Iron, Fe","LCCD","0.08","mg"
"45138627","304","Magnesium, Mg","LCCD","2.0","mg"
"45138627","306","Potassium, K","LCCS","91.0","mg"
"45138627","307","Sodium, Na","LCCS","25.0","mg"
"45138627","318","Vitamin A, IU","LCCD","212.0","IU"
"45138627","401","Vitamin C, total ascorbic acid","LCCD","25.4","mg"
"45138627","601","Cholesterol","LCCS","0.0","mg"
"45138627","605","Fatty acids, total trans","LCCS","0.0","g"
"45138627","606","Fatty acids, total saturated","LCCS","1.69","g"
"45138627","611","12:0","LCCS","0.005","g"
"45353010","203","Protein","LCCS","24.0","g"
"45353010","204","Total lipid (fat)","LCCS","34.0","g"
"45353010","205","Carbohydrate, by difference","LCCS","34.0","g"
"45353010","208","Energy","LCCS","500.0","kcal"
"45353010","269","Sugars, total","LCCS","16.0","g"
"45353010","291","Fiber, total dietary","LCCS","10.0","g"
"45353010","301","Calcium, Ca","LCCS","98.0","mg"
"45353010","303","Iron, Fe","LCCS","4.0","mg"
"45353010","304","Magnesium, Mg","LCCS","130.0","mg"
"45353010","305","Phosphorus, P","LCCS","240.0","mg"
"45353010","307","Sodium, Na","LCCS","280.0","mg"
"45353010","309","Zinc, Zn","LCCS","2.0","mg"
"45353010","312","Copper, Cu","LCCS","0.4","mg"
"45353010","315","Manganese, Mn","LCCS","1.0","mg"
"45353010","323","Vitamin E (alpha-tocopherol)","LCCS","6.0","mg"
"45353010","324","Vitamin D","LCCD","0.0","IU"
"45353010","406","Niacin","LCCS","6.0","mg"
"45353010","416","Biotin","LCCS","14.0","mcg"
"45353010","539","Sugars, added","LCCS","12.0","g"
"45353010","601","Cholesterol","LCCD","0.0","mg"
"45353010","605","Fatty acids, total trans","LCCS","0.0","g"
"45353010","606","Fatty acids, total saturated","LCCS","8.0","g"
"45353010","645","Fatty acids, total monounsaturated","LCCS","20.0","g"
"45353010","646","Fatty acids, total polyunsaturated","LCCS","5.0","g"
"45106296","203","Protein","LCCS","0.0","g"
"45106296","204","Total lipid (fat)","LCCD","0.0","g"
"45106296","205","Carbohydrate, by difference","LCCS","10.0","g"
"45106296","208","Energy","LCCS","50.0","kcal"
"45106296","269","Sugars, total","LCCS","6.67","g"
"45106296","291","Fiber, total dietary","LCCD","0.0","g"
"45106296","301","Calcium, Ca","LCCD","67.0","mg"
"45106296","303","Iron, Fe","LCCD","1.2","mg"
"45106296","307","Sodium, Na","LCCS","217.0","mg"
"45106296","318","Vitamin A, IU","LCCD","2833.0","IU"
"45106296","321","Carotene, beta","LCCS","2897.0","mcg"
"45106296","401","Vitamin C, total ascorbic acid","LCCD","16.0","mg"
"45106296","430","Vitamin K (phylloquinone)","LCCD","106.7","mcg"
"45106296","601","Cholesterol","LCCD","0.0","mg"
"45106296","605","Fatty acids, total trans","LCCS","0.0","g"
"45106296","606","Fatty acids, total saturated","LCCD","0.0","g"
"45360952","203","Protein","LCCS","20.0","g"
"45360952","204","Total lipid (fat)","LCCS","33.33","g"
"45360952","205","Carbohydrate, by difference","LCCS","46.67","g"
"45360952","208","Energy","LCCS","513.0","kcal"
"45360952","291","Fiber, total dietary","LCCS","40.0","g"
"45360952","295","Fiber, soluble","LCCS","7.0","g"
"45360952","297","Fiber, insoluble","LCCS","33.0","g"
"45360952","301","Calcium, Ca","LCCD","533.0","mg"
"45360952","303","Iron, Fe","LCCD","6.0","mg"
"45360952","304","Magnesium, Mg","LCCD","373.0","mg"
"45360952","305","Phosphorus, P","LCCD","733.0","mg"
"45360952","306","Potassium, K","LCCS","600.0","mg"
"45360952","307","Sodium, Na","LCCD","0.0","mg"
"45360952","318","Vitamin A, IU","LCCD","0.0","IU"
"45360952","401","Vitamin C, total ascorbic acid","LCCD","0.0","mg"
"45360952","601","Cholesterol","LCCD","0.0","mg"
"45360952","606","Fatty acids, total saturated","LCCS","4.0","g"
"45360952","645","Fatty acids, total monounsaturated","LCCS","3.33","g"
"45360952","646","Fatty acids, total polyunsaturated","LCCS","26.67","g"
"45360952","851","18:3 n-3 c,c,c (ALA)","LCCS","20.0","g"
"45085789","203","Protein","LCCS","1.0","g"
"45085789","204","Total lipid (fat)","LCCD","0.0","g"
"45085789","205","Carbohydrate, by difference","LCCS","10.0","g"
"45085789","208","Energy","LCCS","135.0","kcal"
"45085789","221","Alcohol, ethyl","LCCS","13.0","g"
"45085789","269","Sugars, total","LCCS","0.0","g"
"45085789","291","Fiber, total dietary","LCCD","0.0","g"
"45085789","301","Calcium, Ca","LCCS","7.0","mg"
"45085789","303","Iron, Fe","LCCS","5.0","mg"
"45085789","307","Sodium, Na","LCCS","600.0","mg"
"45085789","318","Vitamin A, IU","LCCS","0.0","IU"
"45085789","401","Vitamin C, total ascorbic acid","LCCS","0.0","mg"
"45085789","601","Cholesterol","LCCD","0.0","mg"
"45058082","203","Protein","LCCD","0.0","g"
"45058082","204","Total lipid (fat)","LCCS","100.0","g"
"45058082","205","Carbohydrate, by difference","LCCD","0.0","g"
"45058082","208","Energy","LCCS","929.0","kcal"
"45058082","269","Sugars, total","LCCS","0.0","g"
"45058082","291","Fiber, total dietary","LCCS","0.0","g"
"45058082","301","Calcium, Ca","LCCD","0.0","mg"
"45058082","303","Iron, Fe","LCCD","0.0","mg"
"45058082","307","Sodium, Na","LCCD","0.0","mg"
"45058082","318","Vitamin A, IU","LCCD","0.0","IU"
"45058082","401","Vitamin C, total ascorbic acid","LCCD","0.0","mg"
"45058082","601","Cholesterol","LCCD","0.0","mg"
"45058082","605","Fatty acids, total trans","LCCS","0.0","g"
"45058082","606","Fatty acids, total saturated","LCCS","85.71","g"
"45058082","609","8:0","LCCS","7.143","g"
"45058082","610","10:0","LCCS","5.714","g"
"45058082","611","12:0","LCCS","44.286","g"
"45058082","645","Fatty acids, total monounsaturated","LCCS","3.57","g"
"45058082","646","Fatty acids, total polyunsaturated","LCCS","0.0","g"
"45350090","203","Protein","LCCS","0.0","g"
"45350090","204","Total lipid (fat)","LCCD","0.0","g"
"45350090","205","Carbohydrate, by difference","LCSL","20.0","g"
"45350090","208","Energy","LCCS","100.0","kcal"
"45350090","209","Starch","LCCS","0.0","g"
"45350090","269","Sugars, total","LCCS","0.0","g"
"45350090","291","Fiber, total dietary","LCSL","20.0","g"
"45350090","301","Calcium, Ca","LCCD","0.0","mg"
"45350090","303","Iron, Fe","LCCD","0.0","mg"
"45350090","307","Sodium, Na","LCCS","440.0","mg"
"45350090","318","Vitamin A, IU","LCCD","0.0","IU"
"45350090","401","Vitamin C, total ascorbic acid","LCCD","0.0","mg"
"45350090","601","Cholesterol","LCCD","0.0","mg"
"45350090","605","Fatty acids, total trans","LCCS","0.0","g"
"45350090","606","Fatty acids, total saturated","LCCD","0.0","g"
"45189128","203","Protein","LCCS","0.9","g"
"45189128","204","Total lipid (fat)","LCCS","0.0","g"
"45189128","205","Carbohydrate, by difference","LCCS","12.0","g"
"45189128","208","Energy","LCCS","64.0","kcal"
"45189128","268","Energy","LCCS","64.0","kcal"
